community,area,status,property_type,price,capital_gain_percent,price_per_sqft,size_sqft,beds,sold_date,sold_by,median_price_per_sqft,median_price,transactions,rental_yield_percent
Lila,Arabian Ranches 2,Ready,Villa,7650000,55,1645,4650,4,18 Aug 2025,Individual (2 Times),1400,5915000,124,6
Azalea,Arabian Ranches 2,Ready,Villa,6000000,56,1386,4330,4,12 Aug 2025,Individual (2 Times),1400,5915000,124,6
Casa,Arabian Ranches 2,Ready,Villa,5450000,82,1250,4359,3,06 Aug 2025,Individual (2 Times),1400,5915000,124,6
Reem,Arabian Ranches 2,Ready,Villa,4725000,64,1580,2991,4,04 Aug 2025,Individual (1 Time),1400,5915000,124,6
Rosa,Arabian Ranches 2,Ready,Villa,9700000,84,1203,8061,4,31 Jul 2025,Individual (3 Times),1400,5915000,124,6
Samara,Arabian Ranches 2,Ready,Villa,6350000,48,1579,4022,4,29 Jul 2025,Individual (3 Times),1400,5915000,124,6
Palma,Arabian Ranches 2,Ready,Villa,6350000,51,1457,4359,5,24 Jul 2025,Individual (2 Times),1400,5915000,124,6
Rasha,Arabian Ranches 2,Ready,Villa,12000000,97,1042,11519,5,21 Jul 2025,Individual (1 Time),1400,5915000,124,6
Rosa,Arabian Ranches 2,Ready,Villa,12200000,65,1488,8200,6,21 Jul 2025,Individual (1 Time),1400,5915000,124,6
Casa,Arabian Ranches 2,Ready,Villa,4500000,7,896,5020,4,18 Jul 2025,Individual (3 Times),1400,5915000,124,6
Camelia,Arabian Ranches 2,Ready,Villa,3300000,78,1825,1808,3,16 Jul 2025,Individual (2 Times),1400,5915000,124,6
Rosa,Arabian Ranches 2,Ready,Villa,8550000,85,1307,6544,4,16 Jul 2025,Individual (1 Time),1400,5915000,124,6
Yasmin,Arabian Ranches 2,Ready,Villa,11500000,174,1430,8044,4,15 Jul 2025,Individual (4 Times),1400,5915000,124,6
Rosa,Arabian Ranches 2,Ready,Villa,11200000,85,1153,9718,5,11 Jul 2025,Individual (3 Times),1400,5915000,124,6
Lila,Arabian Ranches 2,Ready,Villa,6200000,55,1020,6076,4,10 Jul 2025,Individual (1 Time),1400,5915000,124,6
Rosa,Arabian Ranches 2,Ready,Villa,8300000,104,1244,6673,4,03 Jul 2025,Individual (2 Times),1400,5915000,124,6
Samara,Arabian Ranches 2,Ready,Villa,6999000,7,1424,4916,5,02 Jul 2025,Individual (1 Time),1400,5915000,124,6
Casa,Arabian Ranches 2,Ready,Villa,6150000,66,1411,4359,4,02 Jul 2025,Individual (1 Time),1400,5915000,124,6
Camelia,Arabian Ranches 2,Ready,Villa,3350000,127,1778,1884,3,01 Jul 2025,Individual (1 Time),1400,5915000,124,6
Casa,Arabian Ranches 2,Ready,Villa,6150000,43,1323,4650,4,01 Jul 2025,Individual (2 Times),1400,5915000,124,6
Reem,Arabian Ranches 2,Ready,Villa,3600000,74,1848,1948,3,25 Jun 2025,Individual (1 Time),1400,5915000,124,6
