community,area,status,property_type,price,capital_gain_percent,price_per_sqft,size_sqft,beds,sold_date,sold_by,median_price_per_sqft,median_price,transactions,rental_yield_percent,predicted_type,prediction_confidence,prediction_reason
Lila,Arabian Ranches 2,Ready,Villa,5830000,67.0,1337,4359,3.0,23 Oct 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 1,34,bedrooms match; BUA 4359 above range — likely extended (max 3416)
Casa,Arabian Ranches 2,Ready,Villa,5500000,70.0,1262,4359,3.0,20 Oct 2025,Individual (2 Times),1400,5915000,124,6,Possible Type 1,34,bedrooms match; BUA 4359 above range — likely extended (max 3394)
Camelia,Arabian Ranches 2,Ready,Villa,4300000,79.0,1264,3401,4.0,13 Oct 2025,Individual (3 Times),1400,5915000,124,6,Likely Type 1E,50,bedrooms match; BUA 3401 within standard range 1995–3460
Casa,Arabian Ranches 2,Ready,Villa,7950000,127.0,1594,4989,4.0,10 Oct 2025,Individual (2 Times),1400,5915000,124,6,Possible Type 4,42,bedrooms match; BUA 4989 slightly above range — possible extension (max 4708)
Palma,Arabian Ranches 2,Ready,Villa,5600000,51.0,1285,4359,3.0,06 Oct 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 2,34,bedrooms match; BUA 4359 above range — likely extended (max 3424)
Samara,Arabian Ranches 2,Ready,Villa,4999999,53.0,1292,3869,3.0,03 Oct 2025,Individual (1 Time),1400,5915000,124,6,Likely Type 1,50,bedrooms match; BUA 3869 within standard range 3559–4177
Casa,Arabian Ranches 2,Ready,Villa,5000000,51.0,1147,4361,3.0,03 Oct 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 1,34,bedrooms match; BUA 4361 above range — likely extended (max 3394)
Reem,Arabian Ranches 2,Ready,Villa,3650000,68.0,1872,1950,3.0,02 Oct 2025,Individual (1 Time),1400,5915000,124,6,Likely Type 1M,50,bedrooms match; BUA 1950 within standard range 1849–2043
Casa,Arabian Ranches 2,Ready,Villa,7000000,77.0,1222,5729,4.0,30 Sep 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 4,34,bedrooms match; BUA 5729 above range — likely extended (max 4708)
Samara,Arabian Ranches 2,Ready,Villa,4999999,0.0,1290,3875,3.0,29 Sep 2025,Individual (2 Times),1400,5915000,124,6,Likely Type 1,50,bedrooms match; BUA 3875 within standard range 3559–4177
Reem,Arabian Ranches 2,Ready,Villa,3675000,19.0,1884,1951,3.0,24 Sep 2025,Individual (3 Times),1400,5915000,124,6,Likely Type 1M,50,bedrooms match; BUA 1951 within standard range 1849–2043
Rasha,Arabian Ranches 2,Ready,Villa,9655000,105.0,1402,6889,4.0,18 Sep 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 1,26,bedrooms match; BUA 6889 well above range — heavily extended or wrong type (max 4654)
Yasmin,Arabian Ranches 2,Ready,Villa,9825000,102.0,1501,6544,4.0,15 Sep 2025,Individual (1 Time),1400,5915000,124,6,Likely Type 2,50,bedrooms match; BUA 6544 within standard range 4006–8612
Yasmin,Arabian Ranches 2,Ready,Villa,9850000,101.0,1430,6889,4.0,04 Sep 2025,Individual (2 Times),1400,5915000,124,6,Likely Type 2,50,bedrooms match; BUA 6889 within standard range 4006–8612
Azalea,Arabian Ranches 2,Ready,Villa,4870000,40.0,1274,3824,3.0,04 Sep 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 1,34,bedrooms match; BUA 3824 above range — likely extended (max 3296)
Azalea,Arabian Ranches 2,Ready,Villa,5400000,42.0,1395,3871,4.0,01 Sep 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 2,42,bedrooms match; BUA 3871 slightly above range — possible extension (max 3483)
